Airline Name,Flight Number,Plane Model,Boarding Time,Departure Time,Gate Number,Destination
WestJet,PD678,ATR 72,23:55:00,0:00:00,1,Montreal
WestJet,PD883,Embraer E190,0:00:00,0:05:00,2,Montreal
Porter Airlines,PD431,ATR 72,0:05:00,0:10:00,3,Montreal
Air Canada,PD998,Embraer E190,0:10:00,0:15:00,4,Montreal
Porter Airlines,PD463,ATR 72,0:15:00,0:20:00,5,Montreal
Porter Airlines,PD134,Embraer E190,0:20:00,0:25:00,6,Washington
WestJet,PD155,ATR 72,0:25:00,0:30:00,7,Montreal
Porter Airlines,PD435,ATR 72,0:30:00,0:35:00,1,New York
Porter Airlines,PD904,Embraer E190,0:35:00,0:40:00,2,New York
Air Canada,PD217,ATR 72,0:40:00,0:45:00,3,New York
Porter Airlines,PD955,Embraer E190,0:45:00,0:50:00,4,Boston
Porter Airlines,PD929,ATR 72,0:50:00,0:55:00,5,Washington
Air Canada,PD169,Embraer E190,0:55:00,1:00:00,6,Chicago
Air Canada,PD777,ATR 72,1:00:00,1:05:00,7,Washington
Air Canada,PD694,ATR 72,1:05:00,1:10:00,1,Chicago
Porter Airlines,PD887,Embraer E190,1:10:00,1:15:00,2,Boston
Air Canada,PD894,ATR 72,1:15:00,1:20:00,3,Boston
Porter Airlines,PD791,Embraer E190,1:20:00,1:25:00,4,Washington
Porter Airlines,PD642,ATR 72,1:25:00,1:30:00,5,Boston
Air Canada,PD409,Embraer E190,1:30:00,1:35:00,6,Chicago
Air Canada,PD423,ATR 72,1:35:00,1:40:00,7,Montreal
Air Canada,PD138,ATR 72,1:40:00,1:45:00,1,New York
WestJet,PD487,Embraer E190,1:45:00,1:50:00,2,Montreal
Porter Airlines,PD774,ATR 72,1:50:00,1:55:00,3,Washington
Porter Airlines,PD943,Embraer E190,1:55:00,2:00:00,4,Montreal
Air Canada,PD761,ATR 72,2:00:00,2:05:00,5,Montreal
Air Canada,PD868,Embraer E190,2:05:00,2:10:00,6,New York
Air Canada,PD168,ATR 72,2:10:00,2:15:00,7,Washington
Air Canada,PD404,ATR 72,2:15:00,2:20:00,1,Boston
Air Canada,PD870,Embraer E190,2:20:00,2:25:00,2,New York
Air Canada,PD895,ATR 72,2:25:00,2:30:00,3,Montreal
Porter Airlines,PD927,Embraer E190,2:30:00,2:35:00,4,New York
WestJet,PD579,ATR 72,2:35:00,2:40:00,5,Montreal
WestJet,PD634,Embraer E190,2:40:00,2:45:00,6,Washington
Porter Airlines,PD369,ATR 72,2:45:00,2:50:00,7,Chicago
WestJet,PD128,ATR 72,2:50:00,2:55:00,1,Boston
Air Canada,PD343,Embraer E190,2:55:00,3:00:00,2,New York
Porter Airlines,PD643,ATR 72,3:00:00,3:05:00,3,Washington
WestJet,PD286,Embraer E190,3:05:00,3:10:00,4,Washington
Air Canada,PD447,ATR 72,3:10:00,3:15:00,5,Boston
Porter Airlines,PD414,Embraer E190,3:15:00,3:20:00,6,New York
Porter Airlines,PD816,ATR 72,3:20:00,3:25:00,7,Montreal
Porter Airlines,PD644,ATR 72,3:25:00,3:30:00,1,New York
Porter Airlines,PD185,Embraer E190,3:30:00,3:35:00,2,Montreal
WestJet,PD119,ATR 72,3:35:00,3:40:00,3,Ottawa
Air Canada,PD584,Embraer E190,3:40:00,3:45:00,4,Boston
Air Canada,PD244,ATR 72,3:45:00,3:50:00,5,New York
Air Canada,PD925,Embraer E190,3:50:00,3:55:00,6,Ottawa
Porter Airlines,PD646,ATR 72,3:55:00,4:00:00,7,Chicago
Air Canada,PD589,ATR 72,4:00:00,4:05:00,1,Chicago
Air Canada,PD247,Embraer E190,4:05:00,4:10:00,2,Boston
Air Canada,PD201,ATR 72,4:10:00,4:15:00,3,Montreal
Porter Airlines,PD296,Embraer E190,4:15:00,4:20:00,4,Boston
WestJet,PD596,ATR 72,4:20:00,4:25:00,5,New York
Air Canada,PD501,Embraer E190,4:25:00,4:30:00,6,Washington
WestJet,PD350,ATR 72,4:30:00,4:35:00,7,Washington
Porter Airlines,PD143,ATR 72,4:35:00,4:40:00,1,Chicago
WestJet,PD133,Embraer E190,4:40:00,4:45:00,2,Chicago
Porter Airlines,PD116,ATR 72,4:45:00,4:50:00,3,Boston
Porter Airlines,PD316,Embraer E190,4:50:00,4:55:00,4,Boston
Air Canada,PD164,ATR 72,4:55:00,5:00:00,5,Washington
Air Canada,PD887,Embraer E190,5:00:00,5:05:00,6,Ottawa
WestJet,PD812,ATR 72,5:05:00,5:10:00,7,Chicago
Porter Airlines,PD953,ATR 72,5:10:00,5:15:00,1,Ottawa
Air Canada,PD744,Embraer E190,5:15:00,5:20:00,2,Chicago
WestJet,PD941,ATR 72,5:20:00,5:25:00,3,Washington
Air Canada,PD512,Embraer E190,5:25:00,5:30:00,4,Washington
WestJet,PD438,ATR 72,5:30:00,5:35:00,5,Chicago
WestJet,PD365,Embraer E190,5:35:00,5:40:00,6,Ottawa
Air Canada,PD843,ATR 72,5:40:00,5:45:00,7,Chicago
WestJet,PD226,ATR 72,5:45:00,5:50:00,1,Chicago
WestJet,PD321,Embraer E190,5:50:00,5:55:00,2,Montreal
WestJet,PD830,ATR 72,5:55:00,6:00:00,3,Boston
WestJet,PD185,Embraer E190,6:00:00,6:05:00,4,Washington
Air Canada,PD255,ATR 72,6:05:00,6:10:00,5,Washington
WestJet,PD481,Embraer E190,6:10:00,6:15:00,6,Chicago
WestJet,PD489,ATR 72,6:15:00,6:20:00,7,Boston
WestJet,PD965,ATR 72,6:20:00,6:25:00,1,Montreal
WestJet,PD754,Embraer E190,6:25:00,6:30:00,2,Montreal
Porter Airlines,PD475,ATR 72,6:30:00,6:35:00,3,Ottawa
Air Canada,PD140,Embraer E190,6:35:00,6:40:00,4,Chicago
Air Canada,PD984,ATR 72,6:40:00,6:45:00,5,Washington
Air Canada,PD270,Embraer E190,6:45:00,6:50:00,6,New York
Air Canada,PD976,ATR 72,6:50:00,6:55:00,7,Chicago
Air Canada,PD657,ATR 72,6:55:00,7:00:00,1,Ottawa
Air Canada,PD763,Embraer E190,7:00:00,7:05:00,2,New York
Air Canada,PD838,ATR 72,7:05:00,7:10:00,3,New York
Porter Airlines,PD590,Embraer E190,7:10:00,7:15:00,4,Montreal
Porter Airlines,PD754,ATR 72,7:15:00,7:20:00,5,Chicago
Porter Airlines,PD932,Embraer E190,7:20:00,7:25:00,6,Boston
WestJet,PD687,ATR 72,7:25:00,7:30:00,7,Boston
Porter Airlines,PD972,ATR 72,7:30:00,7:35:00,1,Boston
Porter Airlines,PD157,Embraer E190,7:35:00,7:40:00,2,Boston
Air Canada,PD247,ATR 72,7:40:00,7:45:00,3,Ottawa
Air Canada,PD426,Embraer E190,7:45:00,7:50:00,4,Ottawa
Air Canada,PD976,ATR 72,7:50:00,7:55:00,5,Montreal
Porter Airlines,PD372,Embraer E190,7:55:00,8:00:00,6,Washington
WestJet,PD292,ATR 72,8:00:00,8:05:00,7,New York
Porter Airlines,PD835,ATR 72,8:05:00,8:10:00,1,Montreal
Porter Airlines,PD158,Embraer E190,8:10:00,8:15:00,2,Chicago
WestJet,PD511,ATR 72,8:15:00,8:20:00,3,Boston
Porter Airlines,PD277,Embraer E190,8:20:00,8:25:00,4,New York
Air Canada,PD328,ATR 72,8:25:00,8:30:00,5,Chicago
WestJet,PD458,Embraer E190,8:30:00,8:35:00,6,Chicago
Air Canada,PD759,ATR 72,8:35:00,8:40:00,7,Washington
Porter Airlines,PD586,ATR 72,8:40:00,8:45:00,1,Chicago
WestJet,PD799,Embraer E190,8:45:00,8:50:00,2,Chicago
Porter Airlines,PD549,ATR 72,8:50:00,8:55:00,3,Washington
