Airline Name,Flight Number,Plane Model,Boarding Time,Departure Time,Gate Number,Destination
Porter Airlines,PD521,ATR 72,00:00:00,00:03:00,1,Ottawa
WestJet,PD548,ATR 72,00:00:00,00:03:00,3,Montreal
Air Canada,PD711,Embraer E190,00:01:00,00:04:00,4,New York
WestJet,PD105,ATR 72,00:01:00,00:03:00,5,Boston
WestJet,PD600,Embraer E190,00:00:00,00:01:00,2,Montreal
WestJet,PD838,ATR 72,00:04:00,00:05:00,1,New York
Porter Airlines,PD198,Embraer E190,00:04:00,00:05:00,2,Montreal
Porter Airlines,PD472,ATR 72,00:04:00,00:07:00,3,Ottawa
WestJet,PD344,Embraer E190,00:02:00,00:05:00,6,New York
WestJet,PD497,Embraer E190,00:05:00,00:07:00,4,Ottawa
Porter Airlines,PD150,ATR 72,00:05:00,00:07:00,5,Ottawa
Air Canada,PD260,Embraer E190,00:06:00,00:07:00,6,New York
Air Canada,PD170,ATR 72,00:08:00,00:11:00,1,New York
WestJet,PD252,Embraer E190,00:08:00,00:09:00,2,Ottawa
Air Canada,PD137,ATR 72,00:08:00,00:09:00,3,Montreal
Porter Airlines,PD473,Embraer E190,00:09:00,00:12:00,4,Boston
Air Canada,PD294,ATR 72,00:09:00,00:10:00,5,Boston
Porter Airlines,PD535,Embraer E190,00:10:00,00:11:00,6,Chicago
WestJet,PD402,ATR 72,00:12:00,00:13:00,1,Boston
WestJet,PD686,Embraer E190,00:12:00,00:13:00,2,Montreal
Porter Airlines,PD804,ATR 72,00:12:00,00:13:00,3,Montreal
Air Canada,PD764,Embraer E190,00:13:00,00:14:00,4,Boston
Air Canada,PD820,ATR 72,00:13:00,00:16:00,5,New York
Porter Airlines,PD503,Embraer E190,00:14:00,00:16:00,6,Montreal
Air Canada,PD919,ATR 72,00:16:00,00:19:00,1,New York
Air Canada,PD484,Embraer E190,00:16:00,00:18:00,2,Washington
Air Canada,PD451,ATR 72,00:16:00,00:17:00,3,Washington
Porter Airlines,PD305,Embraer E190,00:17:00,00:20:00,4,Ottawa
Air Canada,PD710,ATR 72,00:17:00,00:19:00,5,Ottawa
Air Canada,PD548,Embraer E190,00:18:00,00:19:00,6,Montreal
Air Canada,PD996,ATR 72,00:20:00,00:22:00,1,Chicago
Porter Airlines,PD658,Embraer E190,00:20:00,00:23:00,2,Montreal
Air Canada,PD138,ATR 72,00:20:00,00:22:00,3,Chicago
Air Canada,PD791,Embraer E190,00:21:00,00:22:00,4,Montreal
WestJet,PD469,ATR 72,00:21:00,00:24:00,5,Boston
Porter Airlines,PD283,Embraer E190,00:22:00,00:25:00,6,New York
Air Canada,PD750,ATR 72,00:24:00,00:25:00,1,Montreal
Air Canada,PD345,Embraer E190,00:24:00,00:25:00,2,Ottawa
Air Canada,PD331,ATR 72,00:24:00,00:25:00,3,Washington
Porter Airlines,PD663,Embraer E190,00:25:00,00:26:00,4,Boston
WestJet,PD152,ATR 72,00:25:00,00:26:00,5,Ottawa
Air Canada,PD216,Embraer E190,00:26:00,00:27:00,6,Montreal
Porter Airlines,PD697,ATR 72,00:28:00,00:29:00,1,Boston
Air Canada,PD655,Embraer E190,00:28:00,00:31:00,2,Montreal
Air Canada,PD186,ATR 72,00:28:00,00:29:00,3,Boston
Porter Airlines,PD180,Embraer E190,00:29:00,00:30:00,4,New York
WestJet,PD548,ATR 72,00:29:00,00:30:00,5,Washington
WestJet,PD669,Embraer E190,00:30:00,00:32:00,6,Chicago
WestJet,PD244,ATR 72,00:32:00,00:33:00,1,Washington
Porter Airlines,PD550,Embraer E190,00:32:00,00:34:00,2,New York
Air Canada,PD418,ATR 72,00:32:00,00:33:00,3,Washington
WestJet,PD333,Embraer E190,00:33:00,00:35:00,4,Ottawa
Porter Airlines,PD280,ATR 72,00:33:00,00:34:00,5,Boston
